id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,bli_initial_filled_ratio,bli_sbuck_size,bli_dbuck_size
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5531718,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,262144
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5566051,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,524288
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5577439,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,1048576
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5611164,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,2097152
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5645029,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,4194304
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5757274,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,8388608



2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5800225,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,16777216
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5933139,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,33554432
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,3792950,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,16384
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,4063886,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,32768
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,4323820,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,65536
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5094535,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,131072
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5100550,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,262144
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5065322,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,524288
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5073555,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,1048576
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5101471,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,2097152
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5165126,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,4194304
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5226232,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,8388608



2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5334306,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,16777216
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5680719,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,16,33554432
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,2953536,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,32,16384
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,3204825,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,32,32768
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,3363751,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,32,65536
